Номер заказа,Дата заказа,Название товара,Категория товара,Количество продаж,Цена за единицу,Общая стоимость
1,2024-05-15,Ноутбук игровой Thunderobot 911S,Ноутбуки,7,77999,545993
2,2024-05-15,Телевизор Philips 55PUS8057/60,Телевизоры,10,44999,449990
3,2024-05-16,Ноутбук HUAWEI MateBook D 16,Ноутбуки,19,49999,949981
4,2024-05-16,Смартфон Apple iPhone 13 128GB,Смартфоны,23,65999,1517977
5,2024-05-16,Смартфон HONOR 90 8/256GB,Смартфоны,23,39999,919977
6,2024-05-16,Телевизор Philips 50PUS8507/60,Телевизоры,15,46999,704985
7,2024-05-16,Умная колонка Яндекс Станция Миди с Алисой,Портативная акустика,8,16999,135992
8,2024-05-16,Смартфон OPPO A78 8/256GB,Смартфоны,7,16999,188993
9,2024-05-16,Стиральная машина узкая Haier HW60-BP12919A,Стиральные машины,13,32999,428987
10,2024-05-16,Телевизор Toshiba 50C350LE,Телевизоры,3,39999,119997
11,2024-05-16,Телевизор Haier 50 Smart TV S3,Телевизоры,6,44999,269994
12,2024-05-16,Ноутбук Apple MacBook Air 13 M1,Ноутбуки,21,90999,1910979
13,2024-05-16,Смартфон Apple iPhone 14 Pro Max 1ТБ,Смартфоны,6,209190,1255140
14,2024-05-16,Холодильник Haier C2F636CXMV,Холодильники,4,55999,223996
15,2024-05-16,Смартфон Samsung Galaxy S23 FE 128GB,Смартфоны,14,59999,839986
16,2024-05-16,Стиральная машина узкая Beko WSPE7612W,Стиральные машины,20,24999,499980
